study_id;outcome_id;reference;pub_year;duration;location_paper;location_st;country;coordinate1;coordinate2;region1origin;climate1;map1;scale;veg_typepaper;ve_type2;deg_status;inv_degree;time_inv;n_type;t_sp_paper;t_family_paper;t_lifeform1;t_lifelength;t_origin1;t_lifestage1;t_successtage;performance1;performance2;performance3;study_type;cID;controltype_study;control_type2;nID;size_sunit;MEANc;MEANn;SDc;SDn;Nc;Nn;SE_c;SE_n;data_type;data_site;ask_data
131;131_003;Parrotta 1999;1999;3102;"""University of Puerto Rico's Toa Baja experimental station located on the northern (Atlantic) coast of Puerto Rico""";Toa Baja;Puerto Rico;18§27N;66§10W;tropical;not informed;1600;neighbor;"study site was dominated by grasses, principally Panicum maximum and Tricholaena repens, with ca. 30 species of herbs and vines, principally Asteraceae, Papilionaceae and Euphorbiaceae; woody plants were absent";;early degraded;planted: initial tree spacing in all forest plots was 1 m x 1 m,plots 16mx16m;na;regular_planted;several;several;tree and shrubs;perennial;native;seedling(regeneration);not informed;richness;diversity;community;experimental;131_003;Casuarina equisetifolia monoculture;exotictree;131_001;plot area=289mý;6.3;9.3;3.8;2.3;3;3;;;hedges_d;datasheet provided by the author;yes
131;131_004;Parrotta 1999;1999;3102;"""University of Puerto Rico's Toa Baja experimental station located on the northern (Atlantic) coast of Puerto Rico""";Toa Baja;Puerto Rico;18§27N;66§10W;tropical;not informed;1600;neighbor;"study site was dominated by grasses, principally Panicum maximum and Tricholaena repens, with ca. 30 species of herbs and vines, principally Asteraceae, Papilionaceae and Euphorbiaceae; woody plants were absent";;early degraded;planted: initial tree spacing in all forest plots was 1 m x 1 m,plots 16mx16m;na;regular_planted;several;several;tree and shrubs;perennial;native;seedling(regeneration);not informed;density;density;community;experimental;131_001;unplanted control,plots were dominated (>95%) by grasses (Panicum maximum and Tricholaena repens), with scattered vine and forb species;notree;131_001;plot area=289mý;0.01;2.02;0.01;1.55;2;3;;;hedges_d;datasheet provided by the author;yes
131;131_005;Parrotta 1999;1999;3102;"""University of Puerto Rico's Toa Baja experimental station located on the northern (Atlantic) coast of Puerto Rico""";Toa Baja;Puerto Rico;18§27N;66§10W;tropical;not informed;1600;neighbor;"study site was dominated by grasses, principally Panicum maximum and Tricholaena repens, with ca. 30 species of herbs and vines, principally Asteraceae, Papilionaceae and Euphorbiaceae; woody plants were absent";;early degraded;planted: initial tree spacing in all forest plots was 1 m x 1 m,plots 16mx16m;na;regular_planted;several;several;tree and shrubs;perennial;native;seedling(regeneration);not informed;density;density;community;experimental;131_002;Eucalyptus robusta monoculture;exotictree;131_001;plot area=289mý;0.81;2.02;0.32;1.55;3;3;;;hedges_d;datasheet provided by the author;yes
131;131_006;Parrotta 1999;1999;3102;"""University of Puerto Rico's Toa Baja experimental station located on the northern (Atlantic) coast of Puerto Rico""";Toa Baja;Puerto Rico;18§27N;66§10W;tropical;not informed;1600;neighbor;"study site was dominated by grasses, principally Panicum maximum and Tricholaena repens, with ca. 30 species of herbs and vines, principally Asteraceae, Papilionaceae and Euphorbiaceae; woody plants were absent";;early degraded;planted: initial tree spacing in all forest plots was 1 m x 1 m,plots 16mx16m;na;regular_planted;several;several;tree and shrubs;perennial;native;seedling(regeneration);not informed;density;density;community;experimental;131_003;Casuarina equisetifolia monoculture;exotictree;131_001;plot area=289mý;2.9;2.02;2.27;1.55;3;3;;;hedges_d;datasheet provided by the author;yes
33;33_001;Yoshida & Oka 2004;2004;na;"""Haha-jima and Chichi-jima, which are the two biggest Ogasawara Islands""";Ogasawara Islands;Tokyo;not informed;not informed;tropical;maritime and subtropical;1234.9;local;secondary forest,island with Elaeocarpus? Ardisia mesic forest, Distylium?Rhaphiole?Shima dry forest;;intermediate;not informed;since 1862;na;several;several;tree;perennial;native;height greater than 1.5m;not informed;basal area;density;community;observational;33_01;uninvaded plots;natextrees ;33_001;100mý each plot;2767.00;724.00;1085.00;800.00;12;24;;;hedges_d;Table 1_results;
33;33_002;Yoshida & Oka 2004;2004;na;"""Haha-jima and Chichi-jima, which are the two biggest Ogasawara Islands""";Ogasawara Islands;Tokyo;not informed;not informed;tropical;maritime and subtropical;1234.9;local;secondary forest,island with Elaeocarpus? Ardisia mesic forest, Distylium?Rhaphiole?Shima dry forest;;intermediate;not informed;since 1862;na;several;several;tree;perennial;exotic;height greater than 1.5m;not informed;basal area;density;community;observational;33_01;uninvaded plots;natextrees ;33_001;100mý each plot;1012.00;2080.00;992.00;953.00;12;24;;;hedges_d;Table 1_results;
33;33_003;Yoshida & Oka 2004;2004;na;"""Haha-jima and Chichi-jima, which are the two biggest Ogasawara Islands""";Ogasawara Islands;Tokyo;not informed;not informed;tropical;maritime and subtropical;1234.9;local;secondary forest,island with Elaeocarpus? Ardisia mesic forest, Distylium?Rhaphiole?Shima dry forest;;intermediate;not informed;since 1862;na;several;several;tree;perennial;native;height greater than 1.5m;not informed;richness;diversity;community;observational;33_01;uninvaded plots;natextrees ;33_001;100mý each plot;8.80;5.10;3.40;2.70;12;24;;;hedges_d;Table 1_results;
33;33_004;Yoshida & Oka 2004;2004;na;"""Haha-jima and Chichi-jima, which are the two biggest Ogasawara Islands""";Ogasawara Islands;Tokyo;not informed;not informed;tropical;maritime and subtropical;1234.9;local;secondary forest,island with Elaeocarpus? Ardisia mesic forest, Distylium?Rhaphiole?Shima dry forest;;intermediate;not informed;since 1862;na;several;several;tree;perennial;exotic;height greater than 1.5m;not informed;richness;diversity;community;observational;33_01;uninvaded plots;natextrees ;33_001;100mý each plot;2.40;3.10;1.60;0.9;12;24;;;hedges_d;Table 1_results;
33;33_005;Yoshida & Oka 2004;2004;na;"""Haha-jima and Chichi-jima, which are the two biggest Ogasawara Islands""";Ogasawara Islands;Tokyo;not informed;not informed;tropical;maritime and subtropical;1234.9;local;secondary forest,island with Elaeocarpus? Ardisia mesic forest, Distylium?Rhaphiole?Shima dry forest;;intermediate;not informed;since 1862;na;several;several;tree;perennial;native;seedling(regeneration,between 1,5m e 3m);not informed;basal area;density;community;observational;33_01;uninvaded plots;natextrees ;33_001;100mý each plot;86.04;29.340;15.49;6.59;12;24;;;hedges_d;Figure 2_results;
33;33_006;Yoshida & Oka 2004;2004;na;"""Haha-jima and Chichi-jima, which are the two biggest Ogasawara Islands""";Ogasawara Islands;Tokyo;not informed;not informed;tropical;maritime and subtropical;1234.9;local;secondary forest,island with Elaeocarpus? Ardisia mesic forest, Distylium?Rhaphiole?Shima dry forest;;intermediate;not informed;since 1862;na;Bischofia javanica & Morus australis;;tree;perennial;exotic;seedling(regeneration,between 1,5m e 3m);late succesional;basal area;density;community;observational;33_01;uninvaded plots;natextrees ;33_001;100mý each plot;14.84;54.066;5.93;14.51;12;24;;;hedges_d;Figure 2_results;
12;12_001;Helmer 2018;2018;na;Puerto Rico;Puerto Rico;Puerto Rico;not informed;not informed;tropical;tropical;800-1500;local;dry forest;;intermediate;mean density:4,619 trees/plot;not informed;na;several;several;tree;perennial;not informed;seedling;not informed;richness;diversity;community;observational;12_01;plots without leucaena;natextrees?verify;12_001;7,3 m radius;2.75;2.762;2.05;2.36;75;21;;;hedges_d;datasheet provided by the author;yes
12;12_002;Helmer 2018;2018;na;Puerto Rico;Puerto Rico;Puerto Rico;not informed;not informed;tropical;tropical;800-1500;local;dry forest;;intermediate;mean density:3.042 trees/plot;not informed;na;several;several;tree;perennial;not informed;seedling;not informed;richness;diversity;community;observational;12_02;plots without leucaena;natextrees?verify;12_002;7,3 m radius;13.26;20.917;10.76;15.60;62;24;;;hedges_d;datasheet provided by the author;yes
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
